playlist_name,track_name,artists,album,duration_ms,spotify_id,spotify_url
Spot To AM,Song for Zula,Phosphorescent,Muchacho,370200,6Thn8AOHIwPCkf2O4ZgfC2,https://open.spotify.com/track/6Thn8AOHIwPCkf2O4ZgfC2
Spot To AM,Wish You The Best,Lewis Capaldi,Broken By Desire To Be Heavenly Sent,210880,3gdPwk2wyOXNRnTA1KXnEr,https://open.spotify.com/track/3gdPwk2wyOXNRnTA1KXnEr
Workout,The Box,Roddy Ricch,Please Excuse Me for Being Antisocial,196652,0nbXyq5TXYPCO7pr3N8S4I,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
Workout,Rock On!!,Farhan Akhtar,Rock On,231819,6fABlNfAOylt7ZxfX8K1XL,https://open.spotify.com/track/6fABlNfAOylt7ZxfX8K1XL
Workout,Not Like Us,Kendrick Lamar,Not Like Us,274192,6AI3ezQ4o3HUoP6Dhudph3,https://open.spotify.com/track/6AI3ezQ4o3HUoP6Dhudph3
Workout,I'm Bad,LL COOL J,Bigger And Deffer,279733,0hioWv2FDtVePjHFTwgrf7,https://open.spotify.com/track/0hioWv2FDtVePjHFTwgrf7
Workout,Sirius,The Alan Parsons Project,Eye In The Sky (Expanded Edition),115280,4OV0sRTFrZLXaZZ1sS9hLn,https://open.spotify.com/track/4OV0sRTFrZLXaZZ1sS9hLn
Workout,Cheques,Shubh,Still Rollin,183756,4eBvRhTJ2AcxCsbfTUjoRp,https://open.spotify.com/track/4eBvRhTJ2AcxCsbfTUjoRp
Workout,Bandana,Shubh,Bandana,154666,7KQdgW7QzNd9oPoCzjCU76,https://open.spotify.com/track/7KQdgW7QzNd9oPoCzjCU76
Workout,King Shit,Shubh,Leo,226933,1BpvuKIG7jK5EiTp2tv5z8,https://open.spotify.com/track/1BpvuKIG7jK5EiTp2tv5z8
Workout,No Love,Shubh,No Love,170387,08Isz2ETWSBhvIl8UpKYsp,https://open.spotify.com/track/08Isz2ETWSBhvIl8UpKYsp
Workout,You and Me,Shubh,Leo,172066,4thOONDx78zsY8sHGfU1M2,https://open.spotify.com/track/4thOONDx78zsY8sHGfU1M2
Workout,Untitled,KR$NA,Untitled,151384,4dCLUBJwtZwc4HYXvfcpyP,https://open.spotify.com/track/4dCLUBJwtZwc4HYXvfcpyP
